athlete_id,rank,name,country,round,round_score,round_rank,ascent,ascent_top,ascent_top_tries,ascent_zone,ascent_zone_tries,sex,event_id,starting_group,event,location
1245,9,Posch Jan-Luca,AUT,qualification,3T5z 7 12,17,1,FALSE,6,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,qualification,3T5z 7 12,17,2,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,qualification,3T5z 7 12,17,3,TRUE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,qualification,3T5z 7 12,17,4,FALSE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,qualification,3T5z 7 12,17,5,TRUE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,semi-final,1T3z 1 6,9,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,semi-final,1T3z 1 6,9,2,FALSE,3,FALSE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,semi-final,1T3z 1 6,9,3,FALSE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1245,9,Posch Jan-Luca,AUT,semi-final,1T3z 1 6,9,4,FALSE,6,TRUE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,qualification,4T5z 7 11,9,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,qualification,4T5z 7 11,9,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,qualification,4T5z 7 11,9,3,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,qualification,4T5z 7 11,9,4,FALSE,4,TRUE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,qualification,4T5z 7 11,9,5,TRUE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,semi-final,1T3z 1 8,12,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,semi-final,1T3z 1 8,12,2,FALSE,5,FALSE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1929,12,Duffy Colin,USA,semi-final,1T3z 1 8,12,3,FALSE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
